race_number,post_position,horse_name,jockey,trainer,weight,medication,morning_line_odds
3,2,2,Citizen (KY),,5/G,L,"$30,000"
3,3,3,Diver (KY),,4/G,L,"$30,000"
3,4,4,Ky Thirty Won (NY),,5/G,L,"$30,000"
3,5,5,Pastero (KY),,3/G,L,"$30,000"
3,6,6,Batter Up (KY),,3/G,L,"$30,000"
3,7,7,Nash Potatoes (KY),,3/C,L,"$30,000"
3,8,8,Flyin Ryan (KY),,3/G,L,"$30,000"
3,SCR,Heatontap (KY),,-------------------------------------Scratched-------------------------------------,7/2,,
4,2,2,Citizen (KY),,5/G,L,"$30,000"
4,3,3,Diver (KY),,4/G,L,"$30,000"
4,4,4,Ky Thirty Won (NY),,5/G,L,"$30,000"
4,5,5,Pastero (KY),,3/G,L,"$30,000"
4,6,6,Batter Up (KY),,3/G,L,"$30,000"
4,7,7,Nash Potatoes (KY),,3/C,L,"$30,000"
4,8,8,Flyin Ryan (KY),,3/G,L,"$30,000"
4,SCR,Heatontap (KY),,-------------------------------------Scratched-------------------------------------,7/2,,
8,2,2,Cape Trafalgar (KY),,6/H,L,"$40,000"
8,3,3,Pure Panic (KY),,6/G,L,"$40,000"
8,4,4,Willtorun (KY),,6/G,L,"$40,000"
8,5,5,Tagliatelle (KY),,4/G,L,"$40,000"
8,6,6,Mr Bob (KY),,5/H,L,"$40,000"
8,SCR,Tenebris (KY),,-------------------------------------Scratched-------------------------------------,12/1,,
8,8,8,Shape Note (KY),,4/G,L,"$40,000"
8,9,9,Regal Rey (KY),,5/G,L,"$40,000"
8,10,10,Refuah (NY),,6/G,L,"$40,000"
9,2,2,Cape Trafalgar (KY),,6/H,L,"$40,000"
9,3,3,Pure Panic (KY),,6/G,L,"$40,000"
9,4,4,Willtorun (KY),,6/G,L,"$40,000"
9,5,5,Tagliatelle (KY),,4/G,L,"$40,000"
9,6,6,Mr Bob (KY),,5/H,L,"$40,000"
9,SCR,Tenebris (KY),,-------------------------------------Scratched-------------------------------------,12/1,,
9,8,8,Shape Note (KY),,4/G,L,"$40,000"
9,9,9,Regal Rey (KY),,5/G,L,"$40,000"
9,10,10,Refuah (NY),,6/G,L,"$40,000"
13,2,2,Eyes On Italy (KY),,3/F,L,C J Hernandez
13,3,3,Lilium (KY),,3/F,L,C   Barbosa
13,4,4,Shrewd Operator (KY),,3/F,L,D   Cohen
13,5,5,Double Velocity (ON),,3/F,L,J L Ortiz
