iter	Passed	Remaining
0	212	63465
1	373	55582
2	518	51282
3	666	49320
4	815	48106
5	966	47367
6	1119	46852
7	1271	46421
8	1414	45722
9	1552	45021
10	1703	44757
11	1860	44654
12	2009	44357
13	2157	44072
14	2313	43962
15	2462	43710
16	2599	43278
17	2730	42781
18	2880	42593
19	3015	42216
20	3160	41984
21	3324	42007
22	3496	42111
23	3666	42166
24	3783	41619
25	3936	41486
26	4065	41103
27	4217	40966
28	4366	40805
29	4538	40848
30	4703	40818
31	4827	40433
32	4950	40056
33	5101	39915
34	5228	39584
35	5372	39395
36	5502	39113
37	5647	38940
38	5806	38855
39	5929	38539
40	6043	38177
41	6169	37900
42	6295	37628
43	6406	37276
44	6535	37032
45	6655	36747
46	6768	36436
47	6909	36274
48	7054	36138
49	7192	35964
50	7315	35719
51	7441	35489
52	7538	35131
53	7660	34899
54	7769	34610
55	7905	34446
56	8049	34314
57	8178	34126
58	8303	33918
59	8431	33725
60	8565	33560
61	8694	33373
62	8806	33127
63	8952	33011
64	9097	32890
65	9245	32778
66	9376	32608
67	9501	32416
68	9628	32234
69	9766	32090
70	9891	31902
71	9996	31655
72	10120	31469
73	10215	31199
74	10336	31008
75	10441	30774
76	10573	30621
77	10712	30489
78	10848	30348
79	10968	30164
80	11122	30071
81	11282	29994
82	11425	29871
83	11541	29678
84	11696	29585
85	11817	29407
86	11928	29204
87	12053	29037
88	12192	28906
89	12337	28786
90	12444	28581
91	12545	28364
92	12671	28204
93	12801	28054
94	12931	27905
95	13065	27764
96	13180	27583
97	13331	27479
98	13430	27268
99	13561	27122
100	13695	26983
101	13812	26811
102	13952	26685
103	14096	26566
104	14243	26452
105	14351	26265
106	14483	26124
107	14613	25979
108	14714	25783
109	14837	25628
110	14980	25507
111	15078	25309
112	15207	25166
113	15350	25044
114	15452	24857
115	15594	24736
116	15726	24597
117	15839	24429
118	15951	24262
119	16054	24081
120	16197	23962
121	16312	23799
122	16458	23684
123	16610	23576
124	16767	23473
125	16928	23377
126	17077	23263
127	17241	23168
128	17378	23036
129	17517	22907
130	17653	22774
131	17773	22620
132	17907	22485
133	18013	22314
134	18155	22190
135	18292	22058
136	18419	21915
137	18559	21786
138	18696	21655
139	18800	21486
140	18910	21324
141	19053	21200
142	19188	21066
143	19325	20935
144	19469	20812
145	19578	20651
146	19677	20480
147	19788	20323
148	19894	20161
149	20041	20041
150	20156	19889
151	20254	19721
152	20376	19577
153	20491	19426
154	20635	19304
155	20764	19167
156	20883	19021
157	20995	18869
158	21133	18741
159	21256	18599
160	21389	18466
161	21495	18311
162	21601	18155
163	21687	17984
164	21802	17838
165	21959	17726
166	22107	17606
167	22250	17482
168	22381	17348
169	22522	17223
170	22641	17080
171	22741	16923
172	22887	16801
173	23031	16677
174	23137	16526
175	23234	16369
176	23330	16212
177	23475	16090
178	23594	15949
179	23721	15814
180	23818	15659
181	23936	15519
182	24036	15367
183	24176	15241
184	24314	15114
185	24435	14976
186	24573	14849
187	24659	14690
188	24760	14542
189	24890	14410
190	25054	14298
191	25187	14168
192	25323	14039
193	25456	13909
194	25544	13754
195	25677	13624
196	25772	13474
197	25933	13359
198	26059	13226
199	26192	13096
200	26320	12963
201	26416	12815
202	26533	12678
203	26681	12555
204	26797	12418
205	26938	12292
206	27045	12150
207	27176	12020
208	27284	11879
209	27428	11754
210	27557	11623
211	27666	11484
212	27785	11348
213	27927	11223
214	28071	11097
215	28188	10962
216	28294	10822
217	28384	10676
218	28500	10541
219	28618	10406
220	28715	10264
221	28821	10126
222	28927	9988
223	29045	9854
224	29152	9717
225	29272	9584
226	29394	9452
227	29510	9319
228	29662	9196
229	29763	9058
230	29911	8934
231	30037	8803
232	30166	8674
233	30303	8547
234	30445	8421
235	30576	8291
236	30700	8160
237	30793	8021
238	30878	7881
239	30992	7748
240	31086	7610
241	31191	7475
242	31325	7347
243	31442	7216
244	31548	7082
245	31683	6954
246	31803	6824
247	31919	6692
248	32027	6559
249	32149	6429
250	32292	6304
251	32444	6179
252	32537	6044
253	32667	5916
254	32803	5788
255	32904	5655
256	33022	5525
257	33128	5392
258	33274	5267
259	33393	5137
260	33517	5008
261	33603	4873
262	33735	4746
263	33882	4620
264	34023	4493
265	34138	4363
266	34264	4234
267	34407	4108
268	34501	3976
269	34646	3849
270	34752	3718
271	34882	3590
272	35031	3464
273	35138	3334
274	35230	3202
275	35330	3072
276	35429	2941
277	35536	2812
278	35658	2684
279	35765	2554
280	35873	2425
281	36003	2298
282	36135	2170
283	36272	2043
284	36370	1914
285	36467	1785
286	36586	1657
287	36696	1529
288	36842	1402
289	36995	1275
290	37155	1149
291	37283	1021
292	37405	893
293	37537	766
294	37646	638
295	37788	510
296	37929	383
297	38041	255
298	38152	127
299	38261	0
