feature,importance
jh_best_finish,1767.06982421875
jh_win_rate,667.4577026367188
jh_places,456.49249267578125
jh_wins,409.0384826660156
jh_avg_finish,318.7596435546875
track_best_finish,307.84454345703125
jh_worst_finish,300.19879150390625
jh_place_rate,258.3833923339844
track_wins,196.29042053222656
jh_synergy,143.4478759765625
track_worst_finish,122.71424102783203
track_places,100.42764282226562
last_race_showed,74.71733093261719
last_race_won,72.96210479736328
track_win_rate,71.93814849853516
last_race_placed,71.17562866210938
competitive_index,60.934295654296875
odds_rank,60.373985290527344
track_place_rate,58.05876541137695
jh_std_finish,54.745521545410156
jh_consistency,49.62526321411133
jh_improvement,48.78718948364258
favorite_indicator,45.514854431152344
jh_races,38.9822883605957
track_avg_finish,37.58578109741211
last_race_finish,36.51194381713867
track_std_finish,35.15922164916992
track_advantage,31.674192428588867
show_rate,27.64679527282715
track_races,24.81995391845703
field_quality,20.970979690551758
show_count,19.905439376831055
win_count,19.854734420776367
field_size,19.500354766845703
odds_drift,18.851116180419922
place_rate,18.61610221862793
recent_best_finish,17.848243713378906
track_improvement,17.48133087158203
recent_races,16.43644905090332
recent_wins,15.711397171020508
best_finish,15.477087020874023
odds_drift_ratio,14.978954315185547
place_count,14.329861640930176
track_consistency,12.795283317565918
num_past_wins,12.669473648071289
recent_win_rate,12.641204833984375
dollar_odds,12.422406196594238
last_race_date_timestamp,12.35037899017334
recent_weighted_win_rate,11.458422660827637
recent_worst_finish,11.256848335266113
races_count,11.150333404541016
recent_momentum,10.910920143127441
recent_weighted_finish,10.763480186462402
recent_places,9.95783805847168
win_rate_vs_field,9.94131088256836
recent_improvement,9.893606185913086
recent_place_rate,8.54782772064209
median_finish,8.375460624694824
odds_movement_indicator,8.275643348693848
last_race_improvement,8.188285827636719
surface_place_rate_d,8.175509452819824
field_quality_std,8.01606559753418
recent_declining,7.764960765838623
recent_trajectory,7.636301517486572
odds_weight_recent,7.445502281188965
recent_consistency,7.0942487716674805
excess_rest,6.9284210205078125
track_specialization,6.910885810852051
avg_finish,6.609950542449951
surface_place_rate_t,6.387840747833252
days_since_last_race,6.250748157501221
trainer_best_finish,6.151238441467285
